Title,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Artist9,ArtistA,ArtistB,Words1,Words2,Words3,Words4,Words5,Music1,Music2,Music3,Music4,Arrangement1,Arrangement2,Arrangement3,Album,Year,TrackNum,TotalTracks,YouTube,Length
Because He Loves Us,Johanne F. Perry,,,,,,,,,,,Joy Saunders Lundberg,,,,,Janice Kapp Perry,,,,Greg Hansen,,,EFY 1992: Of One Heart (1992),1992,8,10,,
The Prince of Peace,Barry Gibbons,Leroy Gibbons,Lucie Gibbons,Felicia Sorensen Wolfe,,,,,,,,James Marsden,Barry Gibbons,,,,James Marsden,Barry Gibbons,,,Merrill Jenson,James Marsden,,EFY 1992: Of One Heart (1992),1992,9,10,,
Taking It Home with Me,Barry Gibbons,Lucie Gibbons,Steve James,Wanda Lindstrom,Bryce Neubert,Vickey Pahnke Taylor,Felicia Sorensen Wolfe,,,,,Vickey Pahnke Taylor,Steve James,,,,Vickey Pahnke Taylor,Steve James,,,Merrill Jenson,Steve James,,EFY 1992: Of One Heart (1992),1992,10,10,,
Sharing the Light,Bryce Neubert,Vickey Pahnke Taylor,Barry Gibbons,Lucie Gibbons,Rich Gibbons,Dave Betros,John Canaan,Melissa Pace,Felicia Sorensen Wolfe,Wanda Lindstrom,,Bryce Neubert,,,,,Bryce Neubert,,,,Bryce Neubert,,,EFY 1993: Sharing the Light (1993),1993,1,10,,
Light,Rich Gibbons,Felicia Sorensen Wolfe,,,,,,,,,,Michael Babbitt,Thomas Clark,,,,Michael Babbitt,Thomas Clark,,,,,,EFY 1993: Sharing the Light (1993),1993,2,10,,
Light of the World,Felicia Sorensen Wolfe,,,,,,,,,,,Staci Peters,,,,,Staci Peters,,,,Kim Simpson,Staci Peters,Michael Babbitt,EFY 1993: Sharing the Light (1993),1993,3,10,,
Look to the Light,Steve James,,,,,,,,,,,Steve James,,,,,Steve James,,,,Merrill Jenson,Steve James,,EFY 1993: Sharing the Light (1993),1993,4,10,,
The Light He Gives,Sonja Jenson,,,,,,,,,,,Susan Evans McCloud,,,,,Merrill Jenson,,,,Merrill Jenson,,,EFY 1993: Sharing the Light (1993),1993,5,10,,
Pass It On,Kenneth Cope,,,,,,,,,,,Don Stirling,,,,,Sam Cardon,,,,Sam Cardon,,,EFY 1993: Sharing the Light (1993),1993,6,10,,
He Hears Me,Hilary Weeks,,,,,,,,,,,Hilary Weeks,,,,,Hilary Weeks,,,,Hilary Weeks,Merrill Jenson,,EFY 1993: Sharing the Light (1993),1993,7,10,,
It Happens This Way,Roger Hoffman,,,,,,,,,,,Roger Hoffman,,,,,Roger Hoffman,,,,Merrill Jenson,,,EFY 1993: Sharing the Light (1993),1993,8,10,,
His Love,Vickey Pahnke Taylor,John Canaan,,,,,,,,,,Tyler Castleton,,,,,Tyler Castleton,,,,Tyler Castleton,Merrill Jenson,,EFY 1993: Sharing the Light (1993),1993,9,10,,
Taking It Home with Me,Barry Gibbons,Lucie Gibbons,Steve James,Wanda Lindstrom,Bryce Neubert,Vickey Pahnke Taylor,Felicia Sorensen Wolfe,,,,,Vickey Pahnke Taylor,Steve James,,,,Vickey Pahnke Taylor,Steve James,,,Merrill Jenson,Steve James,,EFY 1993: Sharing the Light (1993),1993,10,10,,
Serving with Strength,Felicia Sorensen Wolfe,,,,,,,,,,,Staci Peters,Betsy Jensen,,,,Staci Peters,,,,,,,EFY 1994: Serving with Strength (1994),1994,1,12,,
Candle in the Dark,David Barrus,,,,,,,,,,,Jerry Williams,Patricia Youkstetter,,,,Jerry Williams,Patricia Youkstetter,,,,,,EFY 1994: Serving with Strength (1994),1994,2,12,,
Heaven Help the Children,Steve James,Nolanda Jones,Keni Yarbro,Shellee Lapioli,David Barrus,Kerri Ewing,Kristi Grover,Barry Gibbons,,,,Steve James,,,,,Steve James,,,,,,,EFY 1994: Serving with Strength (1994),1994,3,12,,
I Will Be Faithful,Felicia Sorensen Wolfe,,,,,,,,,,,Barry Gibbons,,,,,Barry Gibbons,,,,,,,EFY 1994: Serving with Strength (1994),1994,4,12,,
Let Him Heal Your Heart,John Canaan,,,,,,,,,,,Tyler Castleton,,,,,Tyler Castleton,,,,,,,EFY 1994: Serving with Strength (1994),1994,5,12,,
He Teaches Us to Give,Vickey Pahnke Taylor,,,,,,,,,,,Vickey Pahnke Taylor,,,,,Merrill Jenson,,,,,,,EFY 1994: Serving with Strength (1994),1994,6,12,,
More Than Ever,John Batdorf,,,,,,,,,,,Tyler Castleton,Doug Walker,,,,Tyler Castleton,Doug Walker,,,,,,EFY 1994: Serving with Strength (1994),1994,7,12,,
Fill the World with Love,Wayne Galley,Kerri Ewing,,,,,,,,,,Frank J. Myers,Jerry Williams,Gary Baker,,,Frank J. Myers,Jerry Williams,Gary Baker,,,,,EFY 1994: Serving with Strength (1994),1994,8,12,,
Two Hands and One Heart,Hilary Weeks,,,,,,,,,,,Sam Cardon,Kurt Bestor,Don Stirling,Hilary Weeks,,Sam Cardon,Kurt Bestor,Don Stirling,Hilary Weeks,,,,EFY 1994: Serving with Strength (1994),1994,9,12,,
Everything to Win,Michael Webb,,,,,,,,,,,Michael Webb,Julie de Azevedo,,,,Michael Webb,,,,,,,EFY 1994: Serving with Strength (1994),1994,10,12,,
The Light of Hope,Andrea Robinson,,,,,,,,,,,Staci Peters,,,,,Staci Peters,,,,,,,EFY 1994: Serving with Strength (1994),1994,11,12,,
Taking It Home with Me,Barry Gibbons,Lucie Gibbons,Steve James,Wanda Lindstrom,Bryce Newbert,Vickey Pahnke Taylor,Felicia Sorensen Wolfe,,,,,Vickey Pahnke Taylor,Steve James,,,,Vickey Pahnke Taylor,Steve James,,,,,,EFY 1994: Serving with Strength (1994),1994,12,12,,
Return with Honor,Kenneth Cope,Julie de Azevedo,Michael Webb,,,,,,,,,Randy Kartchner,Kenneth Cope,Michael Webb,Vickey Pahnke Taylor,Evan Stephens,Randy Kartchner,Kenneth Cope,Michael Webb,Vickey Pahnke Taylor,,,,EFY 1995: Return with Honor (1995),1995,1,13,,
Born for This Day?,Vickey Pahnke Taylor,,,,,,,,,,,Clive Romney,Randy Kartchner,Kenneth Cope,,,Clive Romney,Randy Kartchner,Kenneth Cope,,,,,EFY 1995: Return with Honor (1995),1995,2,13,,
The Way,Dave Betros,,,,,,,,,,,Michael Webb,J. Kocherhans,Randy Thorderson,Clive Romney,,Michael Webb,J. Kocherhans,Randy Thorderson,Clive Romney,,,,EFY 1995: Return with Honor (1995),1995,3,13,,
Broken Hearts,Julie de Azevedo,,,,,,,,,,,Greg Simpson,Kenneth Cope,,,,Greg Simpson,Kenneth Cope,,,,,,EFY 1995: Return with Honor (1995),1995,4,13,,
The Right Track,Silent Majority,,,,,,,,,,,Kenneth Cope,Randy Kartchner,,,,Kenneth Cope,Randy Kartchner,,,,,,EFY 1995: Return with Honor (1995),1995,5,13,,
I Will Remember Him,Michael Webb,Emilie de Azevedo,Greg Simpson,Kenneth Cope,Randy Thorderson,Julie de Azevedo,Vickey Pahnke Taylor,,,,,Michael Webb,Dan Truman,Clive Romney,,,Michael Webb,Dan Truman,Clive Romney,,,,,EFY 1995: Return with Honor (1995),1995,6,13,,
"No Deposit, No Return",Moana Wolfgramm,Elizabeth Wolfgramm,,,,,,,,,,Kenneth Cope,Michael Webb,Vickey Pahnke Taylor,,,Kenneth Cope,Michael Webb,Vickey Pahnke Taylor,,,,,EFY 1995: Return with Honor (1995),1995,7,13,,
What Have I Done with His Name?,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,,,,EFY 1995: Return with Honor (1995),1995,8,13,,
You’ll Never Walk Alone,Knudsen Brothers,,,,,,,,,,,Oscar Hammerstein II,,,,,Richard Rodgers,,,,,,,EFY 1995: Return with Honor (1995),1995,9,13,,
Walk On,Keni Yarbro,,,,,,,,,,,Michael Webb,Kenneth Cope,Vickey Pahnke Taylor,Randy Kartchner,,Michael Webb,Kenneth Cope,Vickey Pahnke Taylor,Randy Kartchner,,,,EFY 1995: Return with Honor (1995),1995,10,13,,
Back in His Arms Again,Michael Webb,,,,,,,,,,,Kenneth Cope,Greg Simpson,,,,Kenneth Cope,Greg Simpson,,,,,,EFY 1995: Return with Honor (1995),1995,11,13,,
